,Fingerprint(G2),Fingerprint(G4),Fingerprint(G6),Ref_Wind_Speed
1402,0.5879825696687808,0.5828962271403105,1.0,7.01281404
1403,1.0,1.0,1.0,7.4143486
1404,0.6479883928690355,0.667672685162526,1.0,7.15428972
1405,1.0,1.0,1.0,7.4289608
1406,0.7294753644476422,0.7618248756602239,1.0,7.25670147
1407,1.0,1.0,1.0,7.43091917
1408,0.8253269675306123,0.8565845415712734,1.0,7.33451033
1409,1.0,1.0,1.0,7.44979191
1410,0.9199883295054303,0.938736194715275,1.0,7.39969158
1411,1.0,1.0,1.0,7.47348738
1412,0.9875807561646244,0.9911319872193126,1.0,7.42275476
1413,1.0,1.0,1.0,7.45735931
1414,1.0,1.0,1.0,7.46161175
1415,1.0,1.0,1.0,7.47506523
1416,1.0,1.0,1.0,7.49170971
1417,1.0,1.0,1.0,7.47166967
1418,1.0,1.0,1.0,7.50204945
1419,1.0,1.0,1.0,7.4805398
1420,1.0,1.0,1.0,7.52112341
1421,1.0,1.0,1.0,7.48350382
1422,1.0,1.0,1.0,7.51905107
1423,1.0,1.0,1.0,7.49313688
1424,1.0,1.0,1.0,7.51708794
1425,1.0,1.0,1.0,7.48533154
1426,1.0,1.0,1.0,7.5290451
1427,1.0,1.0,1.0,7.49371195
1428,1.0,1.0,1.0,7.5254159
1429,1.0,1.0,1.0,7.49623442
1430,1.0,1.0,1.0,7.53305054
1431,1.0,1.0,1.0,7.4913187
1432,1.0,1.0,1.0,7.53248119
1433,1.0,1.0,1.0,7.50931597
1434,1.0,1.0,1.0,7.53774881
1435,1.0,1.0,1.0,7.50573301
1436,1.0,1.0,1.0,7.55843782
1437,1.0,1.0,1.0,7.51067162
1438,1.0,1.0,1.0,7.5620575
1439,1.0,1.0,1.0,7.52392912
1440,1.0,1.0,1.0,7.55353642
1441,1.0,1.0,1.0,7.51949644
1442,1.0,1.0,1.0,7.56399012
1443,1.0,1.0,1.0,7.52702665
1444,1.0,1.0,1.0,7.56394434
1445,1.0,1.0,1.0,7.53335524
1446,1.0,1.0,1.0,7.56699276
1447,1.0,1.0,1.0,7.53040695
1448,1.0,1.0,1.0,7.55820847
1449,1.0,1.0,1.0,7.52339745
1450,1.0,1.0,1.0,7.56231928
1451,1.0,1.0,1.0,7.53442717
1452,1.0,1.0,1.0,7.53554916
1453,1.0,1.0,1.0,7.52401972
1454,1.0,1.0,1.0,7.52352285
1455,1.0,1.0,1.0,7.50825214
1456,1.0,1.0,1.0,7.54320192
1457,1.0,1.0,1.0,7.51200438
